Column1	Artwork-Id	type	district	environment	countArtists	experience	replaced	content	userRating	approval
327	29102963	stencil	Spandau	public spot	2	professional	weathered graffiti	scenery	4	1
328	27771516	painting	Neukolln	public spot	3	beginner	weathered graffiti	people	4	1
329	74329083	painting	Lichtenberg	main street	2	advanced	weathered painting	animals or plants		1
330	14113820	painting	Treptow-Kopenick	side street	2	advanced	nothing	people	4	1
331	17568827	text	Charlottenburg-Wilmersdorf	park	1	beginner	recent graffiti	conceptual	5	1
332	48234953	graffiti	Spandau	public spot	4	beginner	nothing	animals or plants	3	0
333	93601238	graffiti	Lichtenberg	public spot	1	beginner	recent graffiti	cartoon or comical	4	0
334	62627622	painting	Treptow-Kopenick	playground	2	first time	weathered painting	political	3	0
335	77488711	painting	Steglitz-Zehlendorf	side street	2	beginner	nothing	conceptual	3	1
336	14609029	graffiti	Friedrichshain-Kreuzberg	main street	3	first time	poster	cartoon or comical	2	0
337	72410878	poster	Pankow	main street	1	first time	poster	conceptual	3	0
338	53100328	graffiti	Steglitz-Zehlendorf	main street	2	advanced	nothing	cartoon or comical	2	0
339	77822741	painting	Treptow-Kopenick	main street	2	beginner	weathered painting	scenery	1	0
340	85855158	painting	Lichtenberg	main street	2	first time	weathered graffiti	animals or plants	1	0
341	68176639	painting	Pankow	side street	3	beginner	weathered graffiti	political	2	0
342	70739233	painting	Steglitz-Zehlendorf	park	4	beginner	poster	conceptual	4	1
343	80459526	painting	Charlottenburg-Wilmersdorf	side street	2	first time	recent painting	people	4	1
344	65143801	graffiti	Marzahn-Hellersdorf	public spot	2	beginner	weathered graffiti	conceptual	1	0
345	67918820	graffiti	Reinickendorf	side street	3	beginner	weathered painting	political	2	0
346	97573160	painting	Steglitz-Zehlendorf	side street	1	first time	stickers and tags	people	5	1
347	30551138	painting	Reinickendorf	main street	2	professional	poster	people	5	1
348	18867919	painting	Spandau	main street	4	beginner	recent graffiti	cartoon or comical	2	1
349	68138044	painting	Spandau	side street	2	first time	recent painting	conceptual	3	0
350	18005997	poster	Neukolln	side street	3	beginner	stickers and tags	people	3	1
351	19635136	graffiti	Tempelhof-Schoneberg	side street	3	first time	nothing	people	4	1
352	32132754	graffiti	Neukolln	park	2	advanced	weathered painting	scenery	2	0
353	89377641	graffiti	Reinickendorf	park	2	first time	stickers and tags	people	1	0
354	11287963	painting	Neukolln	main street	2	beginner	poster	cartoon or comical	5	1
355	35694608	painting	Spandau	main street	1	beginner	stickers and tags	scenery	2	1
356	79652197	painting	Neukolln	playground	4	beginner	weathered graffiti	animals or plants	2	1
357	10332058	graffiti	Reinickendorf	playground	3	beginner	recent graffiti	scenery	4	1
358	71114439	painting	Friedrichshain-Kreuzberg	playground	4	advanced	weathered graffiti	people	4	1
359	31182836	stencil	Neukolln	side street	3	beginner	recent graffiti	conceptual	1	0
360	12858845	painting	Treptow-Kopenick	side street	2	beginner	weathered painting	animals or plants	3	0
361	48908701	graffiti	Steglitz-Zehlendorf	main street	4	first time	recent graffiti	political	2	0
362	21159932	painting	Tempelhof-Schoneberg	main street	4	beginner	weathered graffiti	political		1
363	17532219	painting	Steglitz-Zehlendorf	public spot	2	first time	weathered painting	cartoon or comical	5	1
364	74071207	poster	Reinickendorf	main street	1	advanced	stickers and tags	people	5	1
365	27087206	painting	Treptow-Kopenick	public spot	2	advanced	weathered graffiti	political	5	1
366	96241616	stencil	Mitte	park	4	first time	nothing	cartoon or comical	2	1
367	73822449	poster	Lichtenberg	main street	1	beginner	weathered graffiti	political	3	0
368	15702946	graffiti	Mitte	main street	2	professional	stickers and tags	political	5	1
369	44293250	graffiti	Friedrichshain-Kreuzberg	side street	3	first time	weathered graffiti	scenery		1
370	78118852	graffiti	Charlottenburg-Wilmersdorf	side street	4	advanced	stickers and tags	political	5	1
371	44428398	graffiti	Friedrichshain-Kreuzberg	side street	3	beginner	weathered graffiti	scenery	3	1
372	36001623	painting	Tempelhof-Schoneberg	public spot	2	advanced	recent graffiti	animals or plants	3	1
373	28568133	painting	Marzahn-Hellersdorf	side street	3	beginner	nothing	cartoon or comical	2	1
374	75217286	painting	Steglitz-Zehlendorf	public spot	3	professional	nothing	conceptual	5	1
375	91921421	painting	Charlottenburg-Wilmersdorf	public spot	2	first time	recent graffiti	animals or plants	3	1
376	62029820	painting	Spandau	playground	3	beginner	stickers and tags	people		1
377	33682455	painting	Friedrichshain-Kreuzberg	side street	2	advanced	weathered painting	political	5	1
378	57023756	graffiti	Reinickendorf	park	4	advanced	recent graffiti	scenery	2	1
379	68616158	graffiti	Neukolln	side street	2	beginner	poster	political	3	1
380	31089446	painting	Pankow	main street	2	beginner	poster	cartoon or comical		0
381	62794017	painting	Charlottenburg-Wilmersdorf	main street	2	first time	nothing	people		1
382	34976131	graffiti	Friedrichshain-Kreuzberg	side street	3	beginner	recent graffiti	conceptual	4	1
383	76181500	text	Spandau	main street	3	beginner	poster	conceptual	1	0
384	27109577	painting	Treptow-Kopenick	main street	1	beginner	weathered graffiti	conceptual	4	1
385	40508913	graffiti	Lichtenberg	side street	1	first time	stickers and tags	cartoon or comical	4	1
386	43094643	painting	Tempelhof-Schoneberg	public spot	3	advanced	weathered painting	animals or plants	5	1
387	34091759	poster	Pankow	public spot	1	advanced	stickers and tags	animals or plants	4	1
388	68815145	painting	Pankow	park	3	advanced	text	political	3	1
389	74373136	painting	Neukolln	park	1	advanced	stickers and tags	people	5	1
390	51610412	graffiti	Spandau	public spot	3	beginner	stickers and tags	scenery	3	0
391	59900426	graffiti	Friedrichshain-Kreuzberg	public spot	2	professional	nothing	people	4	1
392	64839230	painting	Spandau	side street	1	beginner	text	political	2	1
393	22465863	graffiti	Lichtenberg	park	2	beginner	poster	animals or plants	2	0
394	83298009	painting	Charlottenburg-Wilmersdorf	side street	1	first time	nothing	conceptual	2	1
395	50919727	graffiti	Charlottenburg-Wilmersdorf	main street	1	advanced	stickers and tags	animals or plants	4	0
396	12419435	painting	Spandau	main street	2	beginner	stickers and tags	cartoon or comical	3	1
397	16561454	graffiti	Charlottenburg-Wilmersdorf	side street	2	advanced	poster	people	2	0
398	96560076	painting	Steglitz-Zehlendorf	side street	4	first time	weathered graffiti	cartoon or comical	3	1
399	39798697	painting	Neukolln	main street	1	beginner	weathered graffiti	scenery	1	0
400	28224948	painting	Steglitz-Zehlendorf	public spot	3	first time	weathered graffiti	conceptual	3	1
401	68032238	painting	Steglitz-Zehlendorf	side street	2	advanced	weathered graffiti	political	3	1
402	78838878	graffiti	Lichtenberg	main street	1	first time	stickers and tags	people	3	0
403	29866725	graffiti	Steglitz-Zehlendorf	park	2	first time	nothing	conceptual	2	0
404	97654104	graffiti	Tempelhof-Schoneberg	playground	3	beginner	poster	political	3	0
405	99274706	painting	Reinickendorf	main street	3	advanced	nothing	political	5	1
406	33297647	graffiti	Spandau	playground	2	beginner	nothing	conceptual	2	0
407	41777346	text	Friedrichshain-Kreuzberg	side street	3	first time	weathered graffiti	animals or plants	4	1
408	50697615	graffiti	Steglitz-Zehlendorf	side street	3	first time	nothing	political	1	0
409	69589157	painting	Spandau	park	4	first time	recent painting	scenery	5	0
410	25223655	painting	Lichtenberg	park	3	first time	weathered graffiti	animals or plants	1	0
411	23758941	painting	Marzahn-Hellersdorf	public spot	3	advanced	poster	animals or plants	2	0
412	17584268	painting	Mitte	park	2	first time	stickers and tags	people	3	1
413	82391547	painting	Charlottenburg-Wilmersdorf	park	4	beginner	weathered graffiti	animals or plants	5	1
414	52996451	painting	Pankow	side street	2	first time	weathered painting	conceptual	3	0
415	37895469	graffiti	Reinickendorf	main street	4	first time	weathered graffiti	cartoon or comical	2	0
416	84301342	poster	Reinickendorf	side street	2	first time	weathered painting	animals or plants	4	0
417	96022154	painting	Tempelhof-Schoneberg	public spot	4	beginner	poster	cartoon or comical	3	1
418	20053455	painting	Mitte	main street	2	beginner	recent graffiti	people	5	1
419	82868334	painting	Treptow-Kopenick	main street	1	beginner	weathered graffiti	cartoon or comical	4	1
420	50361259	graffiti	Steglitz-Zehlendorf	playground	1	advanced	weathered graffiti	people	1	0
421	78704110	graffiti	Charlottenburg-Wilmersdorf	side street	1	first time	weathered graffiti	animals or plants	3	0
422	57003415	painting	Mitte	public spot	1	beginner	stickers and tags	conceptual	1	0
423	68106719	painting	Pankow	side street	1	beginner	weathered painting	political	4	0
424	52544573	painting	Marzahn-Hellersdorf	public spot	2	beginner	nothing	conceptual	3	1
425	85824295	graffiti	Neukolln	park	2	beginner	stickers and tags	political	5	1
426	19446671	graffiti	Reinickendorf	playground	4	advanced	weathered painting	conceptual	4	1
427	20444035	painting	Marzahn-Hellersdorf	public spot	1	first time	stickers and tags	scenery	3	1
428	43114344	poster	Reinickendorf	side street	4	advanced	stickers and tags	people	5	1
429	15821570	painting	Treptow-Kopenick	main street	4	beginner	poster	conceptual	3	1
430	83232645	painting	Pankow	park	2	first time	weathered graffiti	political	3	1
431	30073377	painting	Lichtenberg	park	2	advanced	recent graffiti	animals or plants	5	1
432	31727393	painting	Spandau	main street	1	advanced	recent graffiti	animals or plants	3	1
433	44622690	graffiti	Pankow	public spot	1	first time	weathered graffiti	political	3	0
434	66461113	poster	Neukolln	main street	2	professional	weathered graffiti	cartoon or comical	2	1
435	83532342	graffiti	Spandau	public spot	4	beginner	weathered painting	conceptual		0
436	71961282	graffiti	Marzahn-Hellersdorf	main street	2	advanced	nothing	people	4	1
437	85217480	painting	Marzahn-Hellersdorf	main street	3	beginner	weathered painting	political		0
438	79533893	painting	Marzahn-Hellersdorf	park	3	professional	stickers and tags	political	3	1
439	85068284	painting	Spandau	side street	3	beginner	weathered painting	political	4	1
440	13467677	graffiti	Charlottenburg-Wilmersdorf	side street	3	beginner	stickers and tags	scenery	4	1
441	43264243	painting	Friedrichshain-Kreuzberg	side street	2	advanced	poster	scenery	4	1
442	92313560	painting	Tempelhof-Schoneberg	public spot	2	professional	nothing	cartoon or comical	4	1
443	20954665	painting	Reinickendorf	public spot	1	first time	weathered graffiti	animals or plants	4	0
444	65867083	painting	Treptow-Kopenick	public spot	2	first time	recent painting	cartoon or comical	5	1
445	12162113	painting	Lichtenberg	public spot	1	first time	weathered graffiti	cartoon or comical	3	1
446	31027407	painting	Steglitz-Zehlendorf	main street	3	beginner	recent painting	political	3	0
447	95670884	poster	Steglitz-Zehlendorf	main street	2	beginner	weathered painting	animals or plants		0
448	43590740	painting	Spandau	main street	4	advanced	weathered painting	people		1
449	78055584	poster	Marzahn-Hellersdorf	main street	1	first time	recent graffiti	animals or plants		0
450	78844995	painting	Mitte	main street	1	advanced	weathered graffiti	political	1	0
451	92922448	graffiti	Neukolln	park	5	advanced	text	scenery	2	0
452	83469092	painting	Neukolln	park	2	first time	weathered painting	scenery	5	1
453	53590379	painting	Pankow	side street	1	advanced	recent graffiti	political	4	0
454	29441378	painting	Treptow-Kopenick	side street	4	first time	nothing	animals or plants	3	1
455	19007871	graffiti	Friedrichshain-Kreuzberg	main street	1	advanced	weathered graffiti	political	1	0
456	68640765	painting	Friedrichshain-Kreuzberg	main street	2	advanced	recent graffiti	people	4	0
457	50975763	graffiti	Reinickendorf	side street	2	advanced	poster	scenery	2	0
458	18545250	painting	Friedrichshain-Kreuzberg	main street	3	first time	stickers and tags	political	3	1
459	77770843	painting	Tempelhof-Schoneberg	main street	3	advanced	poster	political	5	1
460	58252577	graffiti	Treptow-Kopenick	public spot	2	advanced	weathered graffiti	political	5	0
461	69425957	painting	Marzahn-Hellersdorf	park	5	professional	poster	conceptual	1	1
462	32736546	painting	Marzahn-Hellersdorf	park	5	first time	weathered graffiti	cartoon or comical		0
463	91681921	painting	Tempelhof-Schoneberg	side street	3	beginner	nothing	cartoon or comical	4	1
464	89245897	graffiti	Pankow	side street	1	professional	weathered painting	cartoon or comical	2	1
465	73954265	painting	Mitte	side street	2	beginner	stickers and tags	political	3	0
466	62824555	graffiti	Treptow-Kopenick	side street	2	first time	recent painting	animals or plants	3	0
467	71635003	painting	Friedrichshain-Kreuzberg	side street	2	first time	nothing	conceptual	3	1
468	87027432	painting	Lichtenberg	side street	2	first time	weathered painting	animals or plants	3	0
469	15975965	painting	Spandau	side street	3	beginner	nothing	political	3	1
470	64785860	graffiti	Steglitz-Zehlendorf	park	4	first time	weathered graffiti	scenery	4	1
471	54396634	painting	Reinickendorf	public spot	3	advanced	weathered graffiti	scenery	5	1
472	87587229	graffiti	Pankow	side street	1	beginner	weathered painting	political	3	0
473	36452144	graffiti	Marzahn-Hellersdorf	park	1	beginner	recent painting	animals or plants		0
474	71057232	painting	Pankow	side street	4	advanced	stickers and tags	conceptual	4	1
475	69689018	painting	Spandau	playground	4	beginner	poster	scenery	5	1
476	72575836	painting	Treptow-Kopenick	side street	4	beginner	poster	scenery		0
477	54035172	painting	Charlottenburg-Wilmersdorf	side street	2	professional	weathered graffiti	animals or plants	5	1
478	98543861	painting	Treptow-Kopenick	park	4	professional	weathered graffiti	animals or plants	1	0
479	28115554	poster	Charlottenburg-Wilmersdorf	side street	2	professional	recent painting	animals or plants	4	0
480	90943152	graffiti	Friedrichshain-Kreuzberg	park	2	professional	recent graffiti	cartoon or comical	3	1
481	38600775	poster	Treptow-Kopenick	public spot	2	advanced	nothing	conceptual		1
482	40861166	poster	Charlottenburg-Wilmersdorf	side street	1	beginner	poster	conceptual	4	1
483	36298651	painting	Steglitz-Zehlendorf	side street	3	first time	weathered graffiti	scenery	2	0
484	74882830	painting	Treptow-Kopenick	main street	2	advanced	weathered painting	political	4	0
485	13902821	painting	Reinickendorf	public spot	3	beginner	nothing	people		1
486	46550180	poster	Marzahn-Hellersdorf	park	4	advanced	recent painting	people	5	0
487	27829372	graffiti	Spandau	side street	2	beginner	weathered graffiti	cartoon or comical	3	1
488	51017259	painting	Treptow-Kopenick	main street	3	advanced	nothing	political		0
489	53495963	painting	Spandau	public spot	2	beginner	poster	animals or plants	4	1
490	99982075	painting	Treptow-Kopenick	main street	1	beginner	recent graffiti	people	5	1
491	89633383	graffiti	Treptow-Kopenick	playground	2	beginner	nothing	people	4	1
492	69118608	graffiti	Mitte	public spot	1	first time	stickers and tags	people	4	0
493	30979785	painting	Mitte	main street	2	beginner	recent graffiti	cartoon or comical	3	1
494	18193518	poster	Tempelhof-Schoneberg	park	2	first time	weathered graffiti	animals or plants	3	0
495	31227852	graffiti	Treptow-Kopenick	main street	3	first time	text	cartoon or comical	4	0
496	51385987	graffiti	Steglitz-Zehlendorf	side street	3	first time	weathered graffiti	animals or plants	3	0
497	11606370	graffiti	Marzahn-Hellersdorf	park	1	first time	recent graffiti	conceptual		0
498	17940519	painting	Marzahn-Hellersdorf	side street	1	first time	poster	political	3	0
499	76408858	painting	Lichtenberg	public spot	3	professional	stickers and tags	political	2	1
500	13856285	poster	Treptow-Kopenick	playground	1	advanced	stickers and tags	conceptual	5	1
501	42318948	graffiti	Marzahn-Hellersdorf	side street	2	beginner	poster	conceptual	4	1
502	82180035	painting	Tempelhof-Schoneberg	main street	3	advanced	weathered painting	scenery	1	0
503	29597382	graffiti	Neukolln	public spot	2	beginner	text	animals or plants	3	1
504	61895799	painting	Tempelhof-Schoneberg	main street	4	first time	nothing	scenery	2	1
505	13684431	graffiti	Reinickendorf	side street	1	advanced	nothing	cartoon or comical	5	1
506	32830781	stencil	Steglitz-Zehlendorf	park	2	beginner	recent graffiti	political	3	0
507	25471751	poster	Tempelhof-Schoneberg	side street	1	first time	weathered graffiti	cartoon or comical	4	1
508	39862198	graffiti	Treptow-Kopenick	public spot	2	beginner	stickers and tags	people	2	0
509	62564182	poster	Marzahn-Hellersdorf	side street	1	first time	weathered painting	animals or plants	4	0
510	64542431	poster	Tempelhof-Schoneberg	park	3	first time	nothing	scenery	2	1
511	24944439	painting	Friedrichshain-Kreuzberg	main street	3	first time	stickers and tags	people	3	1
512	56338534	graffiti	Pankow	park	4	first time	weathered painting	people		0
513	81560405	painting	Lichtenberg	main street	2	beginner	nothing	scenery	4	1
514	55229005	poster	Charlottenburg-Wilmersdorf	side street	3	first time	recent painting	people	1	0
515	68910216	graffiti	Neukolln	main street	4	advanced	stickers and tags	people	2	1
516	22979769	graffiti	Mitte	side street	2	beginner	weathered graffiti	conceptual	3	1
517	69824009	graffiti	Treptow-Kopenick	main street	3	beginner	poster	conceptual	4	1
518	91854962	painting	Marzahn-Hellersdorf	side street	1	beginner	nothing	cartoon or comical	1	0
519	24992962	painting	Friedrichshain-Kreuzberg	main street	4	beginner	recent graffiti	scenery	3	0
520	28377287	painting	Spandau	main street	1	advanced	recent painting	animals or plants	5	0
521	27101745	painting	Mitte	side street	4	advanced	recent graffiti	conceptual	4	1
522	26694653	painting	Friedrichshain-Kreuzberg	side street	3	professional	weathered graffiti	scenery	4	1
523	41788320	painting	Mitte	main street	2	beginner	nothing	scenery	3	1
524	70481207	painting	Neukolln	public spot	4	beginner	poster	scenery		1
525	55818639	painting	Tempelhof-Schoneberg	park	4	first time	stickers and tags	animals or plants	4	1
526	33250681	painting	Mitte	park	1	first time	nothing	people	2	1
527	47164711	graffiti	Charlottenburg-Wilmersdorf	side street	1	beginner	weathered graffiti	political	3	0
528	25290390	stencil	Marzahn-Hellersdorf	side street	2	first time	weathered graffiti	cartoon or comical	1	0
529	13989334	painting	Mitte	side street	1	advanced	recent graffiti	scenery	1	0
530	74164072	painting	Spandau	side street	3	advanced	nothing	conceptual	4	1
531	74094176	poster	Mitte	side street	5	first time	poster	political	1	0
532	18066633	graffiti	Mitte	main street	4	advanced	stickers and tags	political	5	1
533	20552436	graffiti	Mitte	main street	1	beginner	weathered graffiti	conceptual	4	1
534	27599229	painting	Reinickendorf	park	2	beginner	weathered graffiti	scenery	2	0
535	78514114	painting	Marzahn-Hellersdorf	side street	3	beginner	weathered graffiti	conceptual	1	0
536	42731255	poster	Lichtenberg	side street	2	beginner	weathered graffiti	political		0
537	65218556	graffiti	Spandau	main street	3	beginner	nothing	people	5	1
538	11388883	painting	Lichtenberg	park	2	first time	weathered graffiti	scenery	4	1
539	99365039	painting	Pankow	main street	3	first time	nothing	cartoon or comical	3	1
540	27747661	graffiti	Neukolln	main street	2	advanced	weathered graffiti	cartoon or comical	4	1
541	62635563	poster	Steglitz-Zehlendorf	public spot	4	first time	poster	political	3	0
542	45881226	painting	Lichtenberg	side street	2	first time	weathered graffiti	scenery	3	1
543	47513286	painting	Pankow	main street	5	beginner	recent graffiti	conceptual	4	0
544	11752481	painting	Lichtenberg	main street	3	first time	stickers and tags	animals or plants	3	1
545	20522082	graffiti	Friedrichshain-Kreuzberg	side street	1	beginner	stickers and tags	cartoon or comical	4	1
546	79479032	graffiti	Neukolln	side street	3	first time	poster	conceptual		1
547	56094921	painting	Lichtenberg	park	2	advanced	weathered painting	conceptual	4	1
548	54458076	painting	Neukolln	main street	2	advanced	text	people	3	1
549	55644649	graffiti	Charlottenburg-Wilmersdorf	public spot	2	advanced	weathered graffiti	conceptual	5	1
550	33815717	graffiti	Lichtenberg	side street	2	advanced	weathered painting	animals or plants	1	0
551	66634417	painting	Reinickendorf	side street	2	first time	stickers and tags	scenery	4	1
552	39307136	painting	Tempelhof-Schoneberg	main street	3	first time	nothing	conceptual	3	1
553	87223702	painting	Friedrichshain-Kreuzberg	public spot	3	first time	weathered graffiti	animals or plants	3	1
554	92631361	graffiti	Friedrichshain-Kreuzberg	park	2	first time	weathered graffiti	conceptual	4	1
555	65332562	painting	Reinickendorf	main street	1	advanced	weathered graffiti	people	1	0
556	68517730	text	Lichtenberg	public spot	3	beginner	recent painting	cartoon or comical	4	0
557	45683238	painting	Marzahn-Hellersdorf	main street	3	advanced	recent graffiti	cartoon or comical	5	1
558	55858857	graffiti	Neukolln	public spot	2	beginner	nothing	conceptual	1	0
559	74240238	poster	Treptow-Kopenick	main street	1	first time	stickers and tags	political	3	0
560	33346423	painting	Friedrichshain-Kreuzberg	main street	4	first time	weathered graffiti	conceptual	3	1
561	23129443	painting	Marzahn-Hellersdorf	main street	3	advanced	poster	cartoon or comical	3	1
562	85385600	painting	Neukolln	main street	4	advanced	poster	cartoon or comical		1
563	29562071	painting	Tempelhof-Schoneberg	main street	1	first time	poster	animals or plants	3	1
564	27689227	graffiti	Steglitz-Zehlendorf	side street	4	beginner	poster	animals or plants	2	1
565	22940126	poster	Charlottenburg-Wilmersdorf	main street	3	advanced	weathered graffiti	animals or plants	2	1
566	79262620	graffiti	Lichtenberg	park	1	first time	nothing	scenery	3	1
567	70063040	graffiti	Reinickendorf	main street	4	first time	stickers and tags	political	3	0
568	37742070	poster	Charlottenburg-Wilmersdorf	side street	5	first time	nothing	conceptual	1	0
569	74098694	painting	Reinickendorf	main street	2	advanced	text	political	4	0
570	24025974	poster	Treptow-Kopenick	playground	3	beginner	poster	political	4	0
571	58952775	painting	Mitte	main street	5	beginner	stickers and tags	scenery	1	0
572	36612523	painting	Spandau	park	1	advanced	stickers and tags	scenery	3	1
573	36111604	painting	Friedrichshain-Kreuzberg	public spot	3	beginner	weathered graffiti	political	5	1
574	62626068	graffiti	Neukolln	main street	2	advanced	nothing	animals or plants	5	1
575	90607213	painting	Treptow-Kopenick	playground	4	first time	stickers and tags	political	2	0
576	71338307	painting	Steglitz-Zehlendorf	park	2	first time	nothing	political	4	0
577	62976773	stencil	Spandau	main street	3	advanced	weathered graffiti	conceptual	5	1
578	21811114	painting	Tempelhof-Schoneberg	playground	4	first time	recent graffiti	cartoon or comical	3	1
579	70274245	painting	Charlottenburg-Wilmersdorf	main street	1	beginner	weathered graffiti	people	4	1
580	55538387	graffiti	Friedrichshain-Kreuzberg	main street	2	first time	recent graffiti	animals or plants		0
581	38239392	graffiti	Neukolln	side street	3	beginner	stickers and tags	people	4	1
582	81727093	painting	Pankow	main street	3	first time	weathered graffiti	political	2	0
583	90744628	graffiti	Steglitz-Zehlendorf	side street	1	beginner	stickers and tags	people	1	0
584	61121976	graffiti	Pankow	main street	3	advanced	poster	political	4	1
585	72772931	graffiti	Tempelhof-Schoneberg	side street	1	advanced	stickers and tags	animals or plants	5	1
586	56005083	painting	Charlottenburg-Wilmersdorf	side street	3	advanced	weathered graffiti	scenery	4	1
587	55554034	painting	Treptow-Kopenick	side street	2	advanced	nothing	cartoon or comical		1
588	71741444	poster	Reinickendorf	side street	2	professional	nothing	political	5	0
589	28700034	painting	Mitte	side street	3	advanced	weathered graffiti	cartoon or comical	5	1
590	20938973	painting	Neukolln	side street	1	beginner	stickers and tags	animals or plants	2	1
591	33477334	graffiti	Friedrichshain-Kreuzberg	side street	2	first time	weathered graffiti	conceptual	2	1
592	29463216	graffiti	Lichtenberg	side street	2	advanced	weathered graffiti	conceptual	3	1
593	13572995	painting	Steglitz-Zehlendorf	main street	1	beginner	stickers and tags	people	4	1
594	15279129	painting	Tempelhof-Schoneberg	side street	2	first time	weathered graffiti	conceptual	2	1
595	47308337	painting	Tempelhof-Schoneberg	park	4	beginner	recent painting	people	3	0
596	39442951	painting	Steglitz-Zehlendorf	playground	2	first time	stickers and tags	political	2	0
597	74037416	poster	Mitte	main street	2	beginner	recent graffiti	cartoon or comical	1	0
598	65936320	graffiti	Lichtenberg	main street	4	professional	stickers and tags	people	4	1
599	41071100	painting	Friedrichshain-Kreuzberg	side street	3	first time	nothing	animals or plants	3	1
600	47443160	painting	Charlottenburg-Wilmersdorf	main street	4	first time	poster	political	4	1
601	29243751	graffiti	Reinickendorf	public spot	1	advanced	stickers and tags	cartoon or comical	4	0
602	19683314	painting	Marzahn-Hellersdorf	side street	4	first time	poster	people	3	1
603	97783193	graffiti	Friedrichshain-Kreuzberg	side street	2	first time	poster	people	3	1
604	35817084	painting	Treptow-Kopenick	park	2	professional	stickers and tags	people	1	0
605	74656388	graffiti	Charlottenburg-Wilmersdorf	main street	3	advanced	weathered graffiti	cartoon or comical	5	1
606	99437536	painting	Charlottenburg-Wilmersdorf	side street	2	beginner	recent graffiti	conceptual	4	1
607	65061904	graffiti	Tempelhof-Schoneberg	side street	2	first time	stickers and tags	political	4	0
608	21785971	painting	Marzahn-Hellersdorf	main street	4	beginner	poster	people	4	1
609	46656877	graffiti	Mitte	playground	2	beginner	recent painting	political		0
610	58102262	graffiti	Lichtenberg	main street	2	beginner	poster	conceptual	3	1
611	91771994	painting	Mitte	side street	1	professional	recent graffiti	political	5	1
612	78752157	painting	Charlottenburg-Wilmersdorf	public spot	1	advanced	nothing	political	5	1
613	28320090	graffiti	Pankow	side street	3	first time	weathered graffiti	animals or plants	3	1
614	79319521	poster	Treptow-Kopenick	main street	1	first time	recent graffiti	political	4	0
615	56141616	painting	Mitte	side street	2	advanced	weathered graffiti	political	3	0
616	35412510	stencil	Steglitz-Zehlendorf	park	2	advanced	recent graffiti	cartoon or comical	4	0
617	37465910	painting	Tempelhof-Schoneberg	main street	3	advanced	weathered graffiti	scenery	4	1
618	60777825	painting	Pankow	public spot	3	first time	weathered graffiti	political	3	0
619	39610898	painting	Tempelhof-Schoneberg	main street	2	advanced	stickers and tags	people	4	1
620	13763592	graffiti	Neukolln	side street	2	beginner	weathered painting	conceptual	3	1
621	30145686	poster	Marzahn-Hellersdorf	main street	3	advanced	recent graffiti	political	5	0
622	62020856	graffiti	Mitte	side street	3	advanced	recent graffiti	conceptual	5	1
623	68194659	graffiti	Treptow-Kopenick	side street	1	advanced	stickers and tags	people	1	0
624	93429078	graffiti	Charlottenburg-Wilmersdorf	side street	2	advanced	nothing	cartoon or comical	4	1
625	23505439	painting	Neukolln	playground	4	first time	poster	cartoon or comical	5	0
626	39813530	painting	Spandau	side street	2	beginner	weathered graffiti	conceptual	3	1
627	11108427	painting	Lichtenberg	side street	4	advanced	nothing	scenery	2	1
628	95493410	poster	Mitte	main street	1	beginner	stickers and tags	scenery	4	1
629	33882503	painting	Mitte	park	2	beginner	recent graffiti	animals or plants		0
630	87329650	graffiti	Spandau	side street	1	beginner	weathered graffiti	cartoon or comical	1	0
631	98262136	painting	Mitte	side street	2	professional	nothing	scenery		1
632	58569662	painting	Mitte	side street	3	professional	weathered graffiti	cartoon or comical	5	1
633	75362964	painting	Lichtenberg	park	1	first time	stickers and tags	people	1	0
634	66447614	graffiti	Spandau	side street	2	beginner	recent graffiti	conceptual	4	0
635	16688973	graffiti	Mitte	main street	2	advanced	weathered graffiti	cartoon or comical	4	1
636	34459732	poster	Marzahn-Hellersdorf	side street	2	advanced	nothing	cartoon or comical	4	1
637	64081558	painting	Marzahn-Hellersdorf	side street	1	first time	stickers and tags	conceptual		0
638	29857045	poster	Steglitz-Zehlendorf	park	3	first time	text	conceptual	2	0
639	10158515	painting	Reinickendorf	public spot	2	advanced	weathered graffiti	scenery	5	1
640	90031874	graffiti	Lichtenberg	side street	3	first time	stickers and tags	conceptual	3	1
641	30434538	text	Pankow	playground	5	advanced	poster	conceptual	2	0
642	37482357	painting	Spandau	main street	1	first time	recent painting	animals or plants	4	0
643	51545226	poster	Neukolln	public spot	4	beginner	poster	animals or plants	4	1
644	69572147	text	Spandau	main street	1	beginner	poster	scenery	1	0
645	35323756	painting	Neukolln	public spot	2	advanced	weathered painting	cartoon or comical	2	0
646	65681649	painting	Steglitz-Zehlendorf	side street	3	beginner	recent painting	cartoon or comical	4	0
647	85936596	graffiti	Marzahn-Hellersdorf	main street	3	advanced	weathered graffiti	political	4	1
648	90907548	graffiti	Mitte	main street	2	beginner	stickers and tags	conceptual	3	0
649	65670645	stencil	Mitte	public spot	4	first time	stickers and tags	scenery	3	0
650	23257517	graffiti	Lichtenberg	public spot	2	first time	stickers and tags	conceptual	3	1
651	82558635	painting	Reinickendorf	side street	2	beginner	recent graffiti	cartoon or comical	3	1
652	98195725	graffiti	Tempelhof-Schoneberg	main street	2	professional	text	cartoon or comical	5	1
653	47988619	painting	Neukolln	side street	1	advanced	weathered graffiti	people	2	1
